Player,Agents,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
"Derke
FNC",,139,1.31,283,1.44,0.73,175.5,0.97,0.2,0.27,0.18,0.23,0.33,12-Apr,30,135,94,28,37,25
"zeek
ACE",,106,1.26,228,1.31,0.8,142.7,0.76,0.37,0.2,0.11,0.21,0.14,14-Feb,20,81,62,39,21,12
"cNed
ACE",,106,1.26,221.2,1.18,0.76,137.1,0.75,0.24,0.16,0.09,0.27,0.4,5-Feb,19,79,67,25,17,10
"Nivera
TL",,103,1.2,205.4,1.28,0.76,139.2,0.75,0.27,0.05,0.05,0.34,0.1,10-Jan,22,77,60,28,5,5
"Sacy
VKS",,145,1.19,253.7,1.27,0.77,168.3,0.92,0.43,0.12,0.04,0.27,0.16,19-Mar,29,133,105,62,18,6
"dispenser
TS",,123,1.18,222.3,1.37,0.76,150.1,0.88,0.25,0.07,0.07,0.24,0.15,20-Mar,20,108,79,31,9,9
"doma
FNC",(+1),139,1.16,204.3,1.22,0.78,143.4,0.76,0.4,0.05,0.03,0.27,0.08,13-Jan,22,105,86,56,7,4
"crashies
NV",,156,1.16,205.3,1.22,0.79,141.2,0.75,0.33,0.05,0.09,0.26,0.11,19-Feb,25,117,96,51,8,14
"yay
NV",,156,1.16,242.7,1.23,0.7,160.9,0.85,0.14,0.19,0.12,0.23,0.27,15-Apr,24,132,107,22,30,18
"ShahZaM
SEN",,199,1.15,226,1.19,0.71,149.9,0.8,0.3,0.07,0.06,0.19,0.1,21-Feb,27,160,134,59,13,11
"d3ffo
GMB",,114,1.14,249.5,1.16,0.73,158.9,0.84,0.18,0.27,0.16,0.27,0.25,8-Feb,22,96,83,21,31,18
"Patiphan
X10",,148,1.14,242.9,1.17,0.67,165.6,0.82,0.24,0.16,0.14,0.21,,0/11,27,122,104,35,23,21
"leaf
C9",,189,1.13,250,1.12,0.68,165.6,0.83,0.26,0.2,0.17,0.21,0.17,12-Feb,27,157,140,49,37,32
"Sushiboys
X10",,148,1.13,229.1,1.25,0.71,151.2,0.84,0.18,0.11,0.05,0.18,0.05,20-Jan,24,124,99,27,17,8
"TenZ
SEN",,199,1.12,225.2,1.06,0.68,144.4,0.76,0.19,0.2,0.15,0.2,0.13,16-Feb,22,152,143,38,40,29
"heat
KS",,98,1.11,247.2,1.22,0.71,164.2,0.9,0.08,0.13,0.16,0.38,0.11,19-Feb,24,88,72,8,13,16
"DubsteP
TS",,123,1.1,246.4,1.23,0.73,161.6,0.91,0.13,0.24,0.14,0.29,,0/7,28,112,91,16,29,17
"sheydos
GMB",,114,1.1,226.5,1.19,0.68,151.1,0.83,0.14,0.11,0.06,0.29,0.11,18-Feb,28,95,80,16,12,7
"saadhak
VKS",,145,1.1,229,1.03,0.68,148.7,0.74,0.41,0.12,0.11,0.18,0.29,14-Apr,21,108,105,59,17,16
"MAGNUM
FNC",,139,1.09,201.3,1.21,0.76,130.8,0.74,0.13,0.14,0.07,0.22,0.31,13-Apr,21,103,85,18,19,10
"nzr
FUR",,134,1.09,205.8,1.14,0.78,144.3,0.72,0.28,0.06,0.05,0.2,0.12,Apr-33,18,97,85,38,8,7
"L1NK
TL",,103,1.09,206.2,1.1,0.74,142.9,0.72,0.32,0.1,0.06,0.35,0.13,16-Feb,20,74,67,33,10,6
"BuZz
VS",,170,1.08,237.4,1.11,0.71,147.6,0.8,0.15,0.16,0.15,0.24,0.25,12-Mar,26,136,122,25,27,25
"Kiles
ACE",,106,1.08,179,1.03,0.78,118.4,0.64,0.31,0.05,0.06,0.29,,0/12,18,68,66,33,5,6
"ScreaM
TL",,103,1.07,217.4,1.07,0.73,140.4,0.76,0.18,0.13,0.14,0.27,0.1,10-Jan,25,78,73,19,13,14
"soulcas
TL",,103,1.07,212.4,1.19,0.75,144.1,0.8,0.32,0.06,0.11,0.34,,0/6,24,82,69,33,6,11
"xeta
C9",,189,1.07,176.8,1.06,0.76,120.8,0.66,0.37,0.05,0.04,0.23,0.13,24-Mar,23,125,118,69,9,8
"nAts
GMB",,114,1.06,200.7,1.07,0.68,130.5,0.71,0.25,0.04,0.13,0.25,0.18,11-Feb,21,81,76,28,5,15
"MaKo
VS",,170,1.05,186,1.04,0.73,125.2,0.65,0.38,0.05,0.09,0.25,0.06,18-Jan,17,111,107,64,9,15
"Chronicle
GMB",,114,1.05,234.3,1.16,0.69,158.1,0.81,0.18,0.05,0.05,0.27,0.14,14-Feb,20,92,79,21,6,6
"keznit
KRÜ",,174,1.04,223.9,1.11,0.69,145,0.81,0.24,0.09,0.12,0.23,0.22,18-Apr,27,141,127,42,16,21
"SicK
SEN",,199,1.04,203.3,1.05,0.75,138,0.72,0.28,0.16,0.07,0.23,0.18,22-Apr,20,143,136,55,31,14
"foxz
X10",,148,1.02,205,1.01,0.69,133.1,0.71,0.26,0.13,0.05,0.26,,0/16,22,105,104,39,19,8
"Xeppaa
C9",,189,1.01,213.6,1.01,0.69,141.6,0.72,0.33,0.1,0.12,0.18,0.15,13-Feb,25,137,136,63,19,22
"mitch
C9",,189,1.01,189.1,1.03,0.73,123.8,0.67,0.17,0.08,0.07,0.17,0.19,21-Apr,26,126,122,33,15,14
"xand
FUR",,134,1.01,231.2,1.03,0.73,145.2,0.79,0.17,0.16,0.16,0.23,,0/12,20,106,103,23,22,21
"JessieVash
TS",,123,1.01,203.3,0.91,0.76,143.2,0.63,0.41,0.11,0.09,0.24,0.33,15-May,15,77,85,51,13,11
"Rb
VS",,170,1.01,174.5,0.98,0.72,115.3,0.62,0.29,0.11,0.1,0.31,0.22,18-Apr,18,106,108,49,18,17
"Mazino
KRÜ",,174,1.01,231.6,1.03,0.7,160.2,0.75,0.33,0.04,0.05,0.25,,0/25,21,131,127,57,7,9
"sutecas
VKS",,145,1.01,182.9,1.03,0.69,125.9,0.7,0.3,0.06,0.09,0.29,0.18,28-May,18,101,98,44,8,13
"Marved
NV",,156,1,200.9,0.95,0.69,134.4,0.68,0.32,0.07,0.09,0.32,,0/20,22,106,111,50,11,14
"BORKUM
TS",,123,1,167.1,1.07,0.69,111.9,0.65,0.27,0.07,0.07,0.18,0.4,15-Jun,19,80,75,33,8,9
"Witz
TS",(+1),123,1,193.1,1.05,0.76,127.1,0.71,0.27,0.07,0.08,0.23,,0/8,18,87,83,33,8,10
"Jamppi
TL",(+1),103,0.99,190.8,0.96,0.74,124.2,0.66,0.3,0.18,0.14,0.19,0.43,7-Mar,20,68,71,31,19,14
"stax
VS",,170,0.98,192.6,1.06,0.69,127.4,0.74,0.28,0.06,0.1,0.33,0.05,20-Jan,24,126,119,47,10,17
"NagZ
KRÜ",,174,0.97,201.6,1.05,0.69,132.1,0.71,0.16,0.17,0.18,0.18,0.17,24-Apr,22,124,118,27,29,31
"Quick
FUR",(+1),134,0.97,188.7,0.97,0.68,122.9,0.66,0.24,0.1,0.13,0.24,0.38,8-Mar,26,89,92,32,14,17
"BONECOLD
ACE",,106,0.97,163.8,0.94,0.8,111.9,0.6,0.29,0.07,0.06,0.25,0.31,13-Apr,17,64,68,31,7,6
"Redgar
GMB",,114,0.96,161.5,0.88,0.71,107,0.6,0.3,0.06,0.06,0.28,0.38,8-Mar,21,68,77,34,7,7
"k1Ng
VS",,147,0.96,177.3,0.96,0.72,121.4,0.61,0.21,0.08,0.1,0.28,0.17,18-Mar,19,90,94,31,12,15
"mwzera
KS",,98,0.95,188.8,0.91,0.72,120.7,0.62,0.21,0.05,0.07,0.15,0.1,10-Jan,21,61,67,21,5,7
"Boaster
FNC",,139,0.95,164.7,0.85,0.79,113,0.56,0.32,0.05,0.09,0.15,,0/8,22,78,92,44,7,13
"Lakia
VS",,23,0.95,203,0.94,0.7,136.9,0.65,0.13,0.13,0.09,0.17,,0/1,15,15,16,3,3,2
"sScary
X10",,148,0.95,174.3,0.92,0.73,121.8,0.59,0.36,0.05,0.1,0.21,0.06,16-Jan,17,87,95,54,7,15
"gtn
VKS",,145,0.95,190.9,0.97,0.7,120.4,0.69,0.14,0.12,0.12,0.17,0.17,12-Feb,23,100,103,21,18,17
"zombs
SEN",,199,0.94,154.7,0.82,0.68,103.3,0.54,0.39,0.04,0.07,0.15,0.25,24-Jun,17,108,131,78,7,13
"Bazzi
CR",,40,0.93,205,0.9,0.7,144.6,0.7,0.35,0.05,0.05,0.26,0.2,5-Jan,16,28,31,14,2,2
"starxo
ACE",(+1),106,0.93,178.6,0.92,0.76,115.1,0.62,0.25,0.09,0.05,0.21,0.1,10-Jan,17,66,72,27,10,5
"Crws
X10",,148,0.91,164.6,0.82,0.74,104.6,0.59,0.4,0.09,0.11,0.27,0.23,13-Mar,19,88,107,59,13,17
"dapr
SEN",,199,0.91,195.9,0.92,0.68,127.8,0.65,0.26,0.09,0.12,0.16,0.09,23-Feb,22,130,141,52,18,23
"vanity
C9",,189,0.91,159.9,0.76,0.7,111.2,0.53,0.42,0.07,0.11,0.17,0.13,Apr-32,19,101,133,80,13,20
"Khalil
FUR",,134,0.91,196.5,0.85,0.69,132.2,0.66,0.31,0.06,0.1,0.15,0.2,10-Feb,18,88,103,41,8,13
"LAMMYSNAX
FS",,82,0.91,213,0.94,0.68,148,0.74,0.24,0.11,0.06,0.26,,0/14,24,61,65,20,9,5
"FiNESSE
NV",,156,0.9,188.9,0.92,0.71,129.7,0.63,0.17,0.06,0.09,0.19,0.05,20-Jan,17,99,108,26,9,14
"Klaus
KRÜ",,174,0.87,180.8,0.84,0.69,120.4,0.61,0.23,0.09,0.11,0.22,0.07,14-Jan,21,107,127,40,16,19
"SuperBusS
FS",,82,0.87,179.3,0.85,0.66,130.4,0.63,0.22,0.04,0.06,0.24,0.08,12-Jan,19,52,61,18,3,5
"Mistic
FNC",,139,0.87,135,0.77,0.7,96.6,0.49,0.32,0.07,0.05,0.29,0.08,24-Feb,18,68,88,44,10,7
"murizzz
KS",(+1),98,0.85,164.4,0.83,0.78,110.5,0.58,0.24,0.06,0.11,0.23,0.13,8-Jan,20,57,69,24,6,11
"JohnOlsen
FS",,82,0.84,192,0.78,0.62,133.2,0.65,0.2,0.13,0.18,0.25,,0/3,16,53,68,16,11,15
"Victor
NV",,156,0.84,162.3,0.81,0.66,108.4,0.58,0.32,0.08,0.16,0.25,0.14,7-Jan,17,91,112,50,13,25
"mazin
FUR",,134,0.83,161,0.82,0.71,106.7,0.6,0.26,0.08,0.1,0.32,0.18,17-Mar,19,81,99,35,11,13
"frz
VKS",,145,0.82,169.3,0.77,0.77,116.3,0.59,0.24,0.1,0.12,0.26,0.15,13-Feb,20,86,112,35,14,18
"delz1k
KRÜ",,174,0.82,167,0.77,0.64,110.1,0.59,0.3,0.07,0.08,0.27,0.16,19-Mar,19,103,133,52,12,14
"Munchkin
CR",,76,0.81,183.3,0.74,0.61,125.9,0.61,0.33,0.13,0.18,0.31,,0/8,20,46,62,25,10,14
"neth
CR",,76,0.81,164.3,0.66,0.61,107.3,0.54,0.41,0.04,0.07,0.25,0.07,15-Jan,16,41,62,31,3,5
"ChAlalala
FS",,82,0.79,139.5,0.71,0.7,90.2,0.5,0.11,0.04,0.07,0.31,0.08,13-Jan,13,41,58,9,3,6
"PTC
FS",,82,0.78,168.8,0.77,0.65,118.5,0.59,0.32,0.15,0.16,0.25,0.09,11-Jan,19,48,62,26,12,13
"v1xen
KS",,98,0.73,136.6,0.68,0.65,94.8,0.48,0.33,0.05,0.1,0.25,0.43,7-Mar,13,47,69,32,5,10
"Fisker
CR",,76,0.73,206.5,0.82,0.58,130.5,0.72,0.13,0.12,0.25,0.31,0.25,8-Feb,21,55,67,10,9,19
"JhoW
KS",(+1),98,0.69,153.6,0.63,0.65,105.4,0.47,0.26,0.08,0.1,0.21,0.07,15-Jan,14,46,73,25,8,10
"Medusa
CR",,36,0.65,193.5,0.75,0.58,127.8,0.67,0.19,0,0.08,0.28,,0/4,17,24,32,7,0,3
"ade
CR",,76,0.6,101.8,0.46,0.53,74.5,0.38,0.33,0.03,0.09,0.27,0.11,18-Feb,9,29,63,25,2,7
