Player,Agents,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
"Smoggy
																			EDG",(+1),168,1.26,242.9,1.48,0.76,150.4,0.88,0.31,0.09,0.07,0.29,0.29,6/21,23,147,99,52,15,12
"Sacy
																			SEN",,121,1.23,221,1.12,0.79,151,0.72,0.53,0.08,0.08,0.2,0.13,2/16,19,87,78,64,10,10
"Derke
																			FNC",,146,1.22,250,1.29,0.73,157.1,0.86,0.23,0.16,0.16,0.2,0.31,4/13,30,126,98,34,23,23
"RieNs
																			TH",,147,1.22,221.5,1.33,0.73,147.9,0.8,0.23,0.08,0.05,0.34,0.24,4/17,28,118,89,34,12,8
"keznit
																			KRÜ",(+1),156,1.2,250.8,1.16,0.76,170.7,0.83,0.33,0.14,0.08,0.23,0.13,1/8,22,130,112,51,22,13
"aspas
																			LEV",,151,1.2,231.1,1.3,0.75,154.8,0.84,0.2,0.19,0.1,0.33,0.06,1/16,23,127,98,30,28,15
"CHICHOO
																			EDG",(+1),168,1.17,222.1,1.24,0.81,145,0.77,0.33,0.15,0.05,0.29,0.09,2/23,21,129,104,55,26,9
"kiNgg
																			LEV",,151,1.16,203.1,1.27,0.77,131.3,0.75,0.32,0.09,0.09,0.35,0.24,5/21,25,114,90,49,14,14
"Kai
																			TE",,131,1.16,221.7,1.2,0.69,149.9,0.79,0.2,0.15,0.11,0.3,0.07,1/15,25,103,86,26,20,15
"trexx
																			VIT",,151,1.15,228,1.24,0.72,155,0.81,0.34,0.09,0.07,0.23,0.14,3/21,26,123,99,52,13,10
"primmie
																			TLN",(+1),85,1.15,243,1.32,0.74,152.4,0.88,0.27,0.08,0.06,0.37,0.13,2/15,22,75,57,23,7,5
"TenZ
																			SEN",,121,1.14,214,1.15,0.79,135.7,0.76,0.45,0.09,0.09,0.21,,0/14,20,92,80,54,11,11
"BuZz
																			DRX",,96,1.13,267,1.34,0.71,169.7,0.94,0.15,0.24,0.15,0.18,,0/7,24,90,67,14,23,14
"icy
																			G2",,112,1.13,217.2,1.14,0.69,140.9,0.78,0.19,0.12,0.11,0.28,0.08,1/12,24,87,76,21,13,12
"Chronicle
																			FNC",,146,1.12,214.6,1.11,0.69,148.6,0.71,0.3,0.11,0.07,0.25,0.21,3/14,24,104,94,44,16,10
"t3xture
																			GEN",,153,1.12,242.6,1.17,0.69,157.2,0.84,0.18,0.18,0.14,0.25,0.19,3/16,24,128,109,27,28,21
"valyn
																			G2",,112,1.1,209.4,1.18,0.74,127.2,0.75,0.37,0.07,0.06,0.21,0.12,2/17,19,84,71,41,8,7
"LuoK1ng
																			TE",,131,1.1,220,1.22,0.78,138.4,0.82,0.34,0.09,0.04,0.37,,0/13,27,107,88,44,12,5
"Meteor
																			GEN",,153,1.09,241.1,1.32,0.71,160.7,0.9,0.17,0.11,0.1,0.37,0.16,3/19,28,137,104,26,17,16
"johnqt
																			SEN",,121,1.08,154,0.99,0.74,102,0.55,0.31,0.08,0.03,0.2,0.3,3/10,15,67,68,38,10,4
"Shyy
																			KRÜ",,156,1.08,211.1,1.16,0.69,139.9,0.78,0.26,0.13,0.12,0.27,0.24,6/25,23,121,104,40,21,18
"zekken
																			SEN",,121,1.08,221.8,1.11,0.69,141.6,0.81,0.25,0.17,0.16,0.21,0.5,1/2,23,98,88,30,21,19
"Autumn
																			FPX",,115,1.06,211.8,1.12,0.71,134.5,0.75,0.23,0.17,0.1,0.32,0.15,3/20,20,86,77,27,19,11
"hiro
																			FNC",,146,1.06,192.7,1.07,0.77,122.1,0.71,0.27,0.09,0.09,0.3,0.18,2/11,19,103,96,39,13,13
"S1Mon
																			EDG",,168,1.06,181.3,1.05,0.71,116.9,0.65,0.38,0.05,0.04,0.28,0.12,2/17,24,110,105,64,9,7
"yetujey
																			FUT",,88,1.06,231.8,1.14,0.69,145,0.82,0.18,0.19,0.08,0.3,,0/16,19,72,63,16,17,7
