Player,Agents,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
"Wo0t
																			TH",(+1),147,1.05,190.7,1.01,0.76,124.5,0.68,0.35,0.07,0.09,0.36,0.27,4/15,25,100,99,52,10,13
"benjyfishy
																			TH",,147,1.04,200.2,1.04,0.71,136.7,0.73,0.25,0.07,0.14,0.37,0.14,3/21,23,108,104,37,10,20
"Kicks
																			VIT",,151,1.04,187.1,0.92,0.72,120.2,0.63,0.5,0.06,0.07,0.24,0.22,4/18,22,95,103,75,9,11
"heat
																			KRÜ",(+1),156,1.04,191.4,1.09,0.74,123.3,0.73,0.26,0.06,0.04,0.33,0.09,2/23,21,114,105,40,10,7
"Alfajer
																			FNC",(+1),146,1.04,213.1,1.1,0.73,149.4,0.76,0.27,0.07,0.1,0.29,0.28,5/18,25,111,101,39,10,15
"leaf
																			G2",,112,1.03,207.8,0.97,0.71,144.4,0.69,0.21,0.15,0.08,0.2,0.17,1/6,21,77,79,23,17,9
"mindfreak
																			PRX",,140,1.02,210.1,1.04,0.78,134.4,0.74,0.41,0.05,0.04,0.31,0.19,3/16,22,104,100,58,7,6
"trent
																			G2",,112,1.02,196.6,1.01,0.68,130.4,0.7,0.29,0.11,0.11,0.31,0.15,2/13,20,78,77,32,12,12
"MaKo
																			DRX",,96,1.02,181.6,0.98,0.75,122.6,0.61,0.33,0.07,0.06,0.26,0.13,1/8,18,59,60,32,7,6
"Zellsis
																			SEN",(+1),121,1.02,180.3,1.08,0.74,110.2,0.66,0.28,0.11,0.1,0.19,0.13,2/16,20,80,74,34,13,12
"Boo
																			TH",,147,1.01,196.5,1,0.77,120.7,0.69,0.44,0.07,0.07,0.28,0.1,2/20,22,102,102,65,10,11
"FengF
																			TE",,131,1.01,207.8,1.1,0.68,136.9,0.73,0.09,0.14,0.14,0.3,0.33,3/9,21,96,87,12,18,18
"Sayf
																			VIT",,151,1.01,210,1.03,0.67,139.1,0.72,0.22,0.11,0.17,0.27,0.2,3/15,22,109,106,33,16,25
"C0M
																			LEV",,151,1.01,193.7,0.94,0.67,138.4,0.63,0.25,0.09,0.07,0.2,0.15,3/20,16,95,101,37,13,11
"heybay
																			TE",,131,0.99,169,0.93,0.78,111.5,0.6,0.39,0.05,0.05,0.25,0.11,2/18,20,78,84,51,6,6
"Melser
																			KRÜ",(+1),156,0.99,178.6,0.86,0.69,114.5,0.6,0.3,0.1,0.13,0.31,0.15,3/20,22,94,109,47,15,21
"cNed
																			FUT",,88,0.98,222.3,0.99,0.67,151.4,0.77,0.13,0.18,0.14,0.25,,0/8,21,68,69,11,16,12
"AAAAY
																			FPX",,115,0.98,181.8,1.05,0.68,122.8,0.7,0.17,0.08,0.05,0.31,0.06,1/17,27,81,77,20,9,6
"Flashback
																			DRX",,96,0.98,197.8,1.28,0.78,124.6,0.76,0.22,0.08,0.04,0.25,0.27,4/15,27,73,57,21,8,4
"Biank
																			TE",,131,0.97,178,0.86,0.67,114.6,0.57,0.4,0.11,0.13,0.14,0.45,5/11,18,75,87,53,14,17
"BerLIN
																			FPX",,115,0.97,178.6,0.92,0.69,118.5,0.62,0.36,0.1,0.08,0.26,0.07,1/14,20,71,77,41,11,9
"Munchkin
																			GEN",,153,0.97,191.6,0.84,0.78,127.3,0.6,0.49,0.1,0.08,0.24,0.08,2/26,21,92,109,75,15,13
"Karon
																			GEN",(+1),153,0.97,180.4,1,0.73,114.8,0.67,0.42,0.07,0.07,0.32,0.19,3/16,23,103,103,64,11,10
"JonahP
																			G2",,112,0.97,179.6,0.84,0.67,119.7,0.6,0.33,0.07,0.13,0.21,0.18,2/11,21,67,80,37,8,14
"f0rsakeN
																			PRX",(+2),140,0.96,181.9,0.93,0.68,121.9,0.67,0.3,0.05,0.11,0.37,0.19,4/21,21,94,101,42,7,16
"ban
																			TLN",(+1),85,0.95,184,1.04,0.72,118.5,0.68,0.2,0.08,0.08,0.38,0.08,1/13,18,58,56,17,7,7
"ZmjjKK
																			EDG",,168,0.95,209.9,1.01,0.69,138.2,0.74,0.23,0.19,0.16,0.23,0.11,1/9,23,124,123,38,32,27
"qRaxs
																			FUT",,88,0.95,155.5,0.88,0.7,101.9,0.57,0.3,0.05,0.07,0.29,0.21,3/14,17,50,57,26,4,6
"tex
																			LEV",,151,0.94,199.9,0.94,0.66,128.4,0.71,0.22,0.09,0.11,0.32,0.3,3/10,22,107,114,33,14,16
"Boaster
																			FNC",,146,0.93,147.6,0.87,0.74,91.9,0.53,0.34,0.08,0.08,0.27,0.16,3/19,16,77,89,50,11,12
"something
																			PRX",,140,0.92,205,0.93,0.69,133.7,0.69,0.26,0.13,0.14,0.28,0.06,1/16,18,97,104,36,18,20
"Mazino
																			LEV",(+1),151,0.92,180.3,0.83,0.71,114.8,0.6,0.33,0.08,0.09,0.3,0.21,3/14,18,91,110,50,12,14
"Flex1n
																			BLG",,78,0.92,182.5,0.83,0.73,126.7,0.64,0.32,0.1,0.08,0.36,0.15,2/13,16,50,60,25,8,6
"mta
																			KRÜ",(+1),156,0.92,173.9,0.87,0.71,115.3,0.62,0.27,0.1,0.09,0.32,0.08,1/12,19,97,112,42,15,14
"d4v41
																			PRX",(+2),140,0.91,181,0.87,0.72,125,0.64,0.27,0.05,0.07,0.32,0.2,4/20,19,89,102,38,7,10
"Jinggg
																			PRX",,140,0.91,209.7,0.88,0.69,137.2,0.67,0.35,0.12,0.23,0.18,0.18,2/11,21,94,107,49,17,32
"runneR
																			VIT",,151,0.9,205.1,0.88,0.68,137.1,0.67,0.26,0.13,0.09,0.2,,0/17,21,101,115,40,20,14
"nobody
																			EDG",,168,0.9,166.5,0.8,0.67,110.2,0.55,0.28,0.07,0.11,0.3,0.08,1/12,18,93,116,47,12,19
"ceNder
																			VIT",,151,0.89,167,0.9,0.68,108.4,0.64,0.32,0.07,0.15,0.29,0.07,1/15,19,96,107,48,10,23
"Foxy9
																			DRX",(+1),96,0.87,172.2,0.87,0.66,120.9,0.61,0.35,0.06,0.13,0.32,,0/8,19,59,68,34,6,12
"BeYN
																			DRX",,96,0.87,165.8,0.94,0.71,113.2,0.63,0.23,0.06,0.1,0.25,0.38,5/13,15,60,64,22,6,10
"whzy
																			BLG",,78,0.86,245.3,0.91,0.65,150.9,0.79,0.21,0.18,0.23,0.22,,0/3,23,62,68,16,14,18
"Lysoar
																			FPX",,115,0.85,166.6,0.78,0.7,118.7,0.57,0.37,0.04,0.04,0.2,0.13,1/8,21,66,85,42,5,5
"AtaKaptan
																			FUT",,88,0.84,160.8,0.75,0.64,106.3,0.53,0.34,0.05,0.1,0.24,,0/7,15,47,63,30,4,9
"MrFaliN
																			FUT",,88,0.83,172.8,0.75,0.7,113.3,0.56,0.35,0.06,0.09,0.25,0.13,1/8,16,49,65,31,5,8
"Knight
																			BLG",,78,0.83,147.3,0.67,0.64,96.5,0.51,0.42,0.03,0.06,0.29,0.08,1/13,14,40,60,33,2,5
"Governor
																			TLN",(+1),85,0.83,183.3,0.76,0.62,120.2,0.59,0.25,0.12,0.18,0.2,,0/12,20,50,66,21,10,15
"JitBoyS
																			TLN",,85,0.81,181.8,0.72,0.72,118,0.59,0.22,0.14,0.07,0.35,0.11,1/9,18,50,69,19,12,6
"MiniBoo
																			TH",,147,0.78,168.2,0.77,0.63,114.9,0.58,0.19,0.16,0.2,0.31,,0/7,21,85,111,28,23,30
"Life
																			FPX",,115,0.75,175.8,0.78,0.61,116.3,0.6,0.14,0.13,0.22,0.32,0.13,1/8,18,69,89,16,15,25
"nephh
																			BLG",,78,0.74,167,0.68,0.58,106,0.54,0.32,0.05,0.12,0.2,,0/11,13,42,62,25,4,9
"Lakia
																			GEN",(+1),153,0.7,118.3,0.56,0.69,79.5,0.39,0.3,0.05,0.09,0.23,0.25,3/12,16,60,108,46,8,14
"Yosemite
																			BLG",,78,0.65,127,0.52,0.55,84.8,0.4,0.23,0.05,0.1,0.25,,0/13,12,31,60,18,4,8
"Crws
																			TLN",,85,0.58,133.8,0.57,0.61,91.2,0.45,0.24,0.05,0.14,0.19,0.17,1/6,11,38,67,20,4,12
