Player,Agents,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
"MrFaliN
																			FUT",(+2),305,,173.9,0.84,,116.5,0.61,0.41,0.06,0.1,,,,21,186,222,126,19,30
"yetujey
																			FUT",,305,,189.4,1,,127.2,0.67,0.21,0.1,0.11,,,,18,205,206,63,29,34
"valyn
																			G2",(+2),344,,178.4,0.92,,117.1,0.65,0.36,0.06,0.1,,,,20,222,241,124,20,33
"JonahP
																			G2",(+1),344,,203.3,1,,128.9,0.72,0.35,0.07,0.12,,,,28,246,245,121,25,41
"leaf
																			G2",,344,,208.2,0.98,,140.3,0.72,0.23,0.11,0.13,,,,28,248,254,79,37,45
"icy
																			G2",(+1),344,,196.1,0.9,,131.5,0.67,0.24,0.16,0.11,,,,22,232,258,84,55,39
"trent
																			G2",,344,,184.1,0.85,,120,0.62,0.32,0.09,0.05,,,,27,212,248,111,31,18
"Rossy
																			T1",,103,,217.6,1.15,,130.8,0.75,0.27,0.06,0.06,,,,20,77,67,28,6,6
"Sayaplayer
																			T1",(+1),103,,173.6,0.83,,121.3,0.62,0.17,0.07,0.14,,,,19,64,77,17,7,14
"xccurate
																			T1",,103,,180.2,0.88,,114.9,0.67,0.18,0.09,0.12,,,,18,69,78,19,9,12
"iZu
																			T1",(+1),103,,210.8,0.83,,134,0.72,0.29,0.17,0.13,,,,19,74,89,30,18,13
"Alfajer
																			FNC",(+1),125,,221.5,1.1,,150.3,0.78,0.22,0.12,0.14,,,,26,98,89,28,15,17
