Player,Agents,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
"Alfajer
FNC",,73,1.37,269.5,1.85,0.82,176.2,1.01,0.21,0.21,0.05,0.29,0.4,2/5,23,74,40,15,15,4
"mindfreak
PRX",,91,1.29,186.3,1.33,0.77,121.7,0.67,0.45,0.05,0.03,0.25,0.1,1/10,19,61,46,41,5,3
"Leo
FNC",,73,1.29,217.3,1.6,0.86,151.8,0.77,0.47,0.04,0.05,0.33,0.25,3/12,20,56,35,34,3,4
"jawgemo
EG",,92,1.24,239.5,1.24,0.72,160.2,0.84,0.39,0.09,0.09,0.25,0.2,1/5,22,77,62,36,8,8
"MrFaliN
FUT",,136,1.23,212.3,1.32,0.76,139.9,0.76,0.4,0.04,0.06,0.23,0.28,5/18,28,104,79,54,5,8
"Chronicle
FNC",,73,1.22,181.5,1.1,0.84,122.2,0.63,0.64,0.1,0.03,0.24,,0/3,17,46,42,47,7,2
"keznit
KRÜ",,90,1.19,266,1.13,0.68,175.8,0.88,0.23,0.21,0.09,0.2,0.18,2/11,29,79,70,21,19,8
"Less
LOUD",,176,1.19,223.6,1.29,0.73,147.7,0.84,0.18,0.08,0.06,0.26,0.25,5/20,28,147,114,32,14,10
"Boaster
FNC",,73,1.17,202,1.29,0.82,123.6,0.73,0.4,0.11,0.01,0.32,0.5,4/8,19,53,41,29,8,1
"whzy
BLG",,124,1.17,275.3,1.27,0.73,171.3,0.95,0.22,0.21,0.14,0.17,,0/13,31,118,93,27,26,17
"Ethan
EG",,92,1.17,205.5,1.03,0.83,140.3,0.66,0.79,0.09,0.04,0.19,0.31,4/13,21,61,59,73,8,4
"Derke
FNC",,73,1.17,245,1.33,0.68,162.2,0.89,0.18,0.19,0.21,0.25,0.5,1/2,19,65,49,13,14,15
"Yosemite
BLG",,124,1.16,222,1.23,0.73,138,0.79,0.27,0.08,0.07,0.21,0.16,3/19,26,98,80,34,10,9
"qRaxs
FUT",,136,1.16,221.7,1.12,0.77,140.8,0.77,0.54,0.05,0.05,0.3,0.12,2/17,20,105,94,74,7,7
"AAAAY
FPX",,85,1.15,231.3,1.33,0.73,147.4,0.89,0.19,0.01,0.07,0.39,0.18,3/17,23,76,57,16,1,6
"d4v41
PRX",,91,1.14,178.5,1.3,0.79,122.8,0.67,0.34,0.04,0.01,0.39,0.36,4/11,23,61,47,31,4,1
"Cloud
GIA",,161,1.14,216.3,1.11,0.75,139.9,0.76,0.39,0.11,0.09,0.35,0.45,5/11,21,123,111,62,18,14
"MOJJ
FUT",,136,1.13,235.2,1.15,0.73,154.3,0.79,0.35,0.15,0.1,0.32,0.22,4/18,22,107,93,48,20,14
"f0rsakeN
PRX",,91,1.12,213.8,1.21,0.77,147.3,0.75,0.36,0.11,0.11,0.32,,0/10,30,68,56,33,10,10
"Jinggg
PRX",,91,1.12,252,1.2,0.77,165.8,0.86,0.27,0.19,0.14,0.23,,0/1,24,78,65,25,17,13
"Demon1
EG",,92,1.11,217,1.23,0.64,147.5,0.82,0.1,0.15,0.16,0.42,0.17,1/6,22,75,61,9,14,15
"Victor
NRG",,130,1.11,229.4,1.07,0.76,147.7,0.82,0.19,0.17,0.12,0.26,0.14,2/14,22,106,99,25,17,12
"SUYGETSU
NAVI",,204,1.1,193.5,1.2,0.75,130.2,0.73,0.17,0.08,0.04,0.32,0.18,7/39,24,148,123,34,16,8
"AtaKaptan
FUT",,136,1.1,203.2,0.97,0.75,133.4,0.67,0.62,0.1,0.1,0.31,0.17,2/12,20,91,94,84,14,13
"cauanzin
LOUD",,176,1.1,208.4,1.03,0.74,131.8,0.69,0.45,0.12,0.07,0.22,0.07,1/15,22,122,119,79,21,12
"CHICHOO
EDG",,162,1.1,205.3,1.06,0.77,136.1,0.71,0.35,0.03,0.08,0.21,0.22,6/27,22,115,108,57,5,13
"tuyz
LOUD",(+1),176,1.09,174.4,1.05,0.79,114.1,0.62,0.45,0.06,0.05,0.28,0.17,5/29,16,109,104,80,11,9
"ZmjjKK
EDG",,162,1.09,241.6,1.18,0.66,148.6,0.86,0.17,0.19,0.14,0.16,0.2,3/15,27,139,118,27,31,23
"s0m
NRG",(+1),130,1.08,180.2,1.07,0.75,117.4,0.68,0.41,0.07,0.05,0.28,0.13,1/8,23,88,82,53,7,5
"cNed
NAVI",(+2),204,1.08,220.8,1.21,0.74,143.5,0.8,0.17,0.12,0.15,0.28,0.19,3/16,27,163,135,34,24,31
"Sayaplayer
T1",,129,1.08,230.7,1.12,0.66,152.3,0.81,0.12,0.18,0.09,0.26,0.25,4/16,21,105,94,15,23,12
"MaKo
DRX",,144,1.07,175.2,0.94,0.73,112.5,0.59,0.53,0.05,0.04,0.32,0.29,4/14,20,85,90,76,7,6
"aspas
LOUD",,176,1.06,218.8,1.09,0.74,144.4,0.79,0.2,0.19,0.13,0.24,0.17,2/12,29,139,127,35,34,22
"something
PRX",,91,1.06,206.8,1.08,0.78,125.6,0.71,0.29,0.16,0.14,0.25,,0/9,19,65,60,26,15,13
"C0M
EG",,92,1.06,214,1.11,0.76,135.5,0.78,0.36,0.12,0.07,0.2,0.24,4/17,22,72,65,33,11,6
"ardiis
NRG",,130,1.04,234.4,1.13,0.72,147.8,0.82,0.25,0.19,0.14,0.22,,0/9,27,106,94,32,19,14
"Sayf
TL",,92,1.04,222.8,1.01,0.73,155.3,0.75,0.28,0.11,0.11,0.21,0.14,1/7,26,69,68,26,10,10
"Fit1nho
GIA",,161,1.04,227.3,1.02,0.76,155.8,0.81,0.19,0.19,0.15,0.22,0.22,2/9,34,130,127,31,31,24
"hoody
GIA",(+2),161,1.04,204.6,1,0.73,139,0.7,0.46,0.1,0.12,0.23,0.12,3/25,22,113,113,74,16,19
"stax
DRX",,144,1.03,188.7,1.01,0.69,120.1,0.69,0.42,0.06,0.08,0.36,0.14,2/14,27,100,99,61,8,12
"DaveeyS
KRÜ",,90,1.03,182.3,1.12,0.72,130.2,0.64,0.17,0.07,0.04,0.23,0.07,1/14,21,58,52,15,6,4
"Shao
NAVI",(+1),204,1.02,168.4,0.98,0.72,115.1,0.62,0.34,0.06,0.05,0.32,0.22,8/36,24,126,129,70,12,11
"Rb
DRX",,144,1.02,196.8,1.05,0.68,131.5,0.7,0.2,0.11,0.08,0.24,0.25,8/32,23,101,96,29,16,12
"qw1
FUT",,136,1.02,211.7,1.09,0.73,132.6,0.77,0.1,0.21,0.15,0.27,0.1,1/10,21,105,96,13,28,20
"nobody
EDG",,162,1,213.4,0.98,0.73,150.5,0.73,0.34,0.09,0.11,0.31,0.27,4/15,24,119,122,55,15,18
"Zest
DRX",,144,1,203.7,0.98,0.69,135.8,0.7,0.33,0.07,0.1,0.3,0.14,2/14,26,101,103,47,10,14
"nAts
TL",,92,0.98,211.3,1.09,0.76,146.6,0.76,0.15,0.11,0.1,0.28,,0/14,34,70,64,14,10,9
"saadhak
LOUD",(+1),176,0.98,180.5,0.97,0.67,114.5,0.64,0.33,0.11,0.13,0.2,0.07,1/15,21,113,116,58,20,23
"rhyme
GIA",(+1),161,0.97,174,0.83,0.74,113.9,0.58,0.54,0.04,0.08,0.32,0.11,2/18,20,94,113,87,6,13
"crashies
NRG",,130,0.97,191.8,1.01,0.73,123.2,0.69,0.34,0.03,0.05,0.29,0.18,3/17,20,90,89,44,3,5
"Munchkin
T1",,129,0.96,211.7,0.93,0.64,139.7,0.7,0.22,0.12,0.12,0.24,0.08,2/24,17,90,97,29,16,15
"xeta
T1",,129,0.95,187.7,0.94,0.71,120.7,0.64,0.26,0.05,0.1,0.24,0.19,3/16,17,82,87,34,7,13
"BuZz
DRX",,144,0.94,225.7,0.98,0.68,139.9,0.77,0.17,0.2,0.22,0.22,,0/3,27,111,113,25,29,31
"Boostio
EG",,92,0.93,169,0.92,0.66,119.8,0.63,0.23,0.12,0.08,0.23,0.13,1/8,26,58,63,21,11,7
"Zyppan
NAVI",,204,0.93,198.3,0.88,0.69,138,0.67,0.29,0.11,0.14,0.27,0.15,2/13,21,136,154,59,22,29
"Dep
ZETA",,79,0.93,253.7,1.08,0.61,156.3,0.89,0.08,0.12,0.08,0.28,,0/5,29,70,65,6,6,4
"Haodong
EDG",,162,0.92,184.1,0.96,0.74,112.7,0.67,0.4,0.06,0.11,0.31,0.14,2/14,22,109,114,65,10,18
"Lysoar
FPX",,85,0.92,208.5,0.95,0.72,133.8,0.71,0.16,0.07,0.12,0.31,,0/8,18,60,63,14,6,10
"FiNESSE
NRG",,130,0.91,181.4,0.72,0.74,122.5,0.52,0.41,0.1,0.1,0.16,0.1,1/10,16,67,93,53,10,10
"Biank
BLG",,124,0.9,181.3,0.89,0.73,121.1,0.63,0.34,0.06,0.11,0.17,0.23,3/13,25,78,88,42,8,14
"nukkye
GIA",,161,0.89,185.7,0.88,0.65,131.2,0.65,0.19,0.06,0.06,0.21,0.06,2/31,22,105,119,31,10,10
"Yuicaw
FPX",,85,0.89,206.8,0.87,0.66,129.1,0.69,0.15,0.19,0.16,0.29,,0/6,18,59,68,13,16,14
"rin
BLG",,124,0.87,152,0.76,0.65,103.1,0.52,0.32,0.04,0.07,0.27,,0/9,16,65,86,40,5,9
"ban
T1",,129,0.85,176.3,0.82,0.66,109.9,0.62,0.33,0.05,0.12,0.33,0.11,2/19,16,80,98,43,6,16
"Smoggy
EDG",(+2),162,0.85,174.9,0.88,0.68,114.9,0.63,0.19,0.09,0.09,0.28,0.05,1/19,21,102,116,31,15,14
"ANGE1
NAVI",,204,0.84,176.8,0.75,0.7,117.7,0.59,0.44,0.1,0.14,0.26,0.18,2/11,24,120,161,89,21,29
"Knight
BLG",(+1),124,0.83,168.2,0.8,0.66,107.9,0.61,0.34,0.06,0.15,0.24,0.07,1/15,17,76,95,42,8,18
"NagZ
KRÜ",,90,0.83,149.5,0.72,0.61,103.5,0.48,0.32,0.04,0.06,0.18,,0/14,13,43,60,29,4,5
"soulcas
TL",,92,0.82,134.8,0.76,0.65,81.7,0.48,0.27,0.04,0.03,0.39,0.06,1/17,13,44,58,25,4,3
"Klaus
KRÜ",,90,0.79,157.3,0.71,0.64,106.6,0.54,0.28,0.07,0.18,0.31,,0/3,14,49,69,25,6,16
"Redgar
TL",,92,0.76,162.8,0.69,0.68,110.5,0.53,0.35,0.08,0.1,0.32,,0/7,19,49,71,32,7,9
"nizhaoTZH
FPX",,85,0.76,137.3,0.71,0.66,95.2,0.49,0.27,0.06,0.07,0.37,0.06,1/16,17,42,59,23,5,6
"Melser
KRÜ",,90,0.75,145.5,0.64,0.69,94.3,0.49,0.27,0.1,0.14,0.26,,0/11,14,44,69,24,9,13
"Jamppi
TL",(+1),92,0.72,162.5,0.85,0.55,108.4,0.61,0.07,0.13,0.2,0.21,0.27,3/11,22,56,66,6,12,18
"Carpe
T1",(+1),129,0.72,149.8,0.68,0.6,99.1,0.54,0.25,0.04,0.12,0.26,0.33,2/6,17,70,103,32,5,16
"BerLIN
FPX",,85,0.71,155.8,0.6,0.65,106.1,0.47,0.34,0.12,0.13,0.37,,0/7,13,40,67,29,10,11
"SugarZ3ro
ZETA",,79,0.67,120.7,0.66,0.63,72.8,0.48,0.3,0.02,0.12,0.2,,0/4,17,38,58,24,1,6
"Laz
ZETA",,79,0.66,143.7,0.8,0.51,84.8,0.61,0.14,0.06,0.22,0.26,0.07,1/14,20,48,60,11,3,11
"TENNN
ZETA",,79,0.62,160.7,0.67,0.51,111.8,0.56,0.11,0.08,0.25,0.18,,0/7,16,44,66,9,4,13
"crow
ZETA",,79,0.51,108.3,0.48,0.53,73.1,0.37,0.29,0.02,0.04,0.16,,0/7,13,29,61,23,1,2
