Player,Agents,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
"f0rsakeN
PRX",,209,1.07,242.5,1.15,0.75,152.5,0.86,0.17,0.22,0.21,0.29,0.29,4/14,29,180,156,36,47,44
"Zest
DRX",,271,1.06,196.2,1.13,0.72,131.3,0.72,0.24,0.07,0.07,0.3,0.25,8/32,27,194,171,64,20,19
"Victor
OPTC",,468,1.06,213.9,1.04,0.73,138.8,0.72,0.31,0.14,0.13,0.24,0.23,8/35,25,339,327,144,64,59
"Benkai
PRX",,209,1.04,183.9,1.07,0.72,121.3,0.67,0.25,0.04,0.09,0.28,0.14,6/42,20,141,132,53,9,19
"Jinggg
PRX",(+1),209,1.03,250.6,1.1,0.67,166.6,0.88,0.24,0.12,0.14,0.16,0.14,1/7,28,184,168,51,25,30
"crashies
OPTC",,468,1.03,194.2,1.04,0.74,129.8,0.67,0.31,0.07,0.06,0.26,0.19,10/54,28,315,304,147,34,27
"cauanzin
NIP",,147,1.03,207.7,0.94,0.71,130.4,0.69,0.31,0.09,0.07,0.21,0.13,2/16,23,102,108,45,13,10
"Mixwell
G2",,128,1.01,216.2,1.03,0.7,141.5,0.78,0.2,0.16,0.12,0.17,0.22,4/18,27,100,97,25,20,15
"Enzo
FNC",,85,1.01,229.5,1.11,0.73,148.7,0.8,0.22,0.12,0.04,0.21,0.11,2/18,19,68,61,19,10,3
"BuZz
DRX",(+1),271,1.01,223.3,1.06,0.69,141.5,0.77,0.27,0.13,0.14,0.26,0.19,4/21,28,208,196,73,35,38
"L1NK
TL",(+1),243,0.99,164.3,0.97,0.76,112,0.62,0.3,0.05,0.03,0.42,0.15,7/47,29,150,155,72,11,8
"valyn
TGRD",,108,0.98,178.8,0.86,0.76,114.3,0.62,0.4,0.04,0.06,0.25,0.08,1/12,17,67,78,43,4,7
"Laz
ZETA",,431,0.98,214,1.05,0.71,139.9,0.76,0.19,0.16,0.12,0.26,0.14,7/50,29,327,312,82,69,50
"TENNN
ZETA",(+1),431,0.97,221.7,0.99,0.68,146,0.75,0.22,0.16,0.15,0.27,0.14,5/37,27,324,327,94,69,65
"soulcas
TL",(+2),243,0.97,199.3,0.91,0.74,134.9,0.63,0.37,0.08,0.13,0.22,0.21,4/19,22,153,169,91,19,31
"Less
LOUD",,240,0.97,202.5,1.01,0.7,135,0.69,0.25,0.07,0.11,0.19,0.17,4/24,33,166,164,61,17,27
"H1ber
FNC",,85,0.97,231.3,0.86,0.68,153.3,0.74,0.26,0.2,0.16,0.19,,0/4,20,63,73,22,17,14
"Mistic
FNC",,85,0.96,198.5,0.92,0.68,135.4,0.69,0.32,0.07,0.04,0.33,0.13,2/15,21,59,64,27,6,3
"Sushiboys
XIA",,163,0.96,194.1,0.96,0.68,133.1,0.69,0.13,0.11,0.08,0.24,0.19,4/21,21,112,117,22,18,13
"Seraph
NIP",,147,0.95,159.9,0.86,0.68,108.8,0.56,0.25,0.05,0.07,0.25,0.29,8/28,19,82,95,37,8,10
"d4v41
PRX",(+2),209,0.95,180.6,0.88,0.7,119.7,0.62,0.34,0.05,0.03,0.27,,0/26,19,129,147,71,11,6
"Surf
XIA",,163,0.94,212.9,1.01,0.66,135.1,0.74,0.1,0.14,0.18,0.23,,0/14,21,121,120,16,23,29
"bezn1
NIP",(+1),147,0.93,191.9,0.85,0.69,125.3,0.63,0.35,0.05,0.15,0.25,0.23,3/13,28,92,108,51,8,22
"Dep
ZETA",,431,0.93,194.9,0.96,0.67,126.1,0.69,0.24,0.11,0.1,0.28,0.06,3/51,26,299,312,105,48,44
"JonahP
TGRD",(+1),108,0.92,198.6,0.96,0.69,128.4,0.71,0.19,0.09,0.1,0.27,0.13,1/8,25,77,80,20,10,11
"NagZ
KRÜ",,89,0.91,190.3,0.96,0.63,123.5,0.72,0.13,0.15,0.17,0.3,0.2,2/10,24,64,67,12,13,15
"keznit
KRÜ",,89,0.91,204,0.96,0.65,131.2,0.72,0.17,0.18,0.17,0.23,,0/14,28,64,67,15,16,15
"pANcada
LOUD",(+2),240,0.9,180.5,0.96,0.66,121.7,0.69,0.24,0.07,0.1,0.35,0.12,3/26,22,165,172,58,16,25
"crow
ZETA",,431,0.9,164.7,0.82,0.71,110.7,0.57,0.28,0.04,0.04,0.27,0.09,5/55,19,247,302,122,17,18
"nukkye
G2",,128,0.9,211.2,0.84,0.7,150.5,0.65,0.31,0.09,0.16,0.16,0.17,2/12,19,83,99,40,12,20
"trent
TGRD",,108,0.88,162.4,0.8,0.66,111,0.58,0.18,0.07,0.08,0.3,,0/15,15,63,79,19,8,9
"Rb
DRX",,271,0.88,184.9,0.89,0.65,115.3,0.64,0.17,0.14,0.19,0.23,0.25,5/20,20,173,195,45,37,51
"neT
TGRD",,108,0.88,179.2,0.87,0.69,118.5,0.62,0.13,0.07,0.11,0.34,0.18,2/11,18,67,77,14,8,12
"FiNESSE
OPTC",(+2),468,0.87,162.3,0.81,0.68,109,0.56,0.25,0.07,0.06,0.21,0.13,6/48,21,261,323,116,33,26
"mindfreak
PRX",,209,0.87,158.4,0.79,0.7,101.6,0.56,0.38,0.03,0.05,0.26,0.16,4/25,17,116,147,80,7,11
"foxz
XIA",,163,0.87,189.6,0.85,0.68,132,0.64,0.25,0.06,0.1,0.22,0.05,1/21,20,105,124,41,9,17
"delz1k
KRÜ",,89,0.86,180.3,0.8,0.7,120.3,0.63,0.31,0.08,0.04,0.26,,0/7,24,56,70,28,7,4
"Jonn
NIP",,147,0.85,181.9,0.82,0.63,119.6,0.63,0.22,0.08,0.13,0.29,0.13,1/8,19,93,113,32,12,19
"AvovA
G2",,128,0.84,169,0.78,0.62,111,0.59,0.3,0.07,0.11,0.31,0.27,4/15,17,75,96,38,9,14
"saadhak
LOUD",(+1),240,0.83,174.9,0.76,0.66,115,0.59,0.35,0.09,0.16,0.16,0.06,1/16,20,141,185,83,22,39
"Klaus
KRÜ",,89,0.81,182.3,0.78,0.74,122.7,0.6,0.38,0.03,0.04,0.21,0.08,1/13,17,53,68,34,3,4
"Crws
XIA",,163,0.8,168.7,0.77,0.63,110.3,0.58,0.2,0.07,0.14,0.23,0.31,4/13,21,95,123,33,11,23
"MAGNUM
FNC",(+1),85,0.77,187.5,0.75,0.67,123.5,0.61,0.25,0.07,0.15,0.21,,0/7,16,52,69,21,6,13
"Meddo
G2",,128,0.72,152.8,0.76,0.64,97.6,0.54,0.12,0.02,0.08,0.27,0.05,1/22,20,69,91,15,3,10
"Mazino
KRÜ",,89,0.67,166.5,0.68,0.7,119.6,0.56,0.18,0.06,0.08,0.21,0.08,1/12,16,50,73,16,5,7
"Boaster
FNC",,85,0.62,133.8,0.54,0.62,88.1,0.44,0.32,0.04,0.12,0.17,,0/11,12,37,69,27,3,10
