Player,Agents,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
"MaKo
DRX",,271,1.29,245,1.3,0.79,153.7,0.83,0.39,0.12,0.05,0.25,0.06,2/32,26,225,173,107,32,14
"yay
OPTC",,468,1.19,252.3,1.32,0.73,158.4,0.89,0.15,0.17,0.14,0.26,0.11,5/45,30,417,317,69,78,66
"ScreaM
TL",,243,1.17,260.5,1.22,0.75,164.6,0.86,0.31,0.16,0.08,0.33,0.16,3/19,24,210,172,75,39,20
"xand
NIP",(+1),147,1.16,241.7,1.16,0.65,147.3,0.85,0.17,0.18,0.13,0.21,0.1,2/21,21,125,108,25,26,19
"aspas
LOUD",,240,1.15,249.3,1.26,0.76,153,0.88,0.15,0.14,0.16,0.26,0.13,3/23,29,211,168,35,34,39
"Marved
OPTC",(+2),468,1.13,224.6,1.16,0.73,146.4,0.79,0.36,0.1,0.08,0.31,0.25,14/57,35,371,321,168,46,36
"Sayaplayer
TGRD",,108,1.12,251,1.27,0.69,156.9,0.88,0.14,0.19,0.18,0.27,,0/15,27,95,75,15,20,19
"Sacy
LOUD",,240,1.11,202.8,1.06,0.75,139.2,0.7,0.3,0.05,0.03,0.31,0.14,7/49,26,169,159,72,13,7
"hoody
G2",,128,1.11,242.8,1.08,0.7,155.6,0.82,0.3,0.12,0.08,0.3,0.18,2/11,24,105,97,38,15,10
"stax
DRX",,271,1.11,207.3,1.14,0.73,136.6,0.73,0.34,0.06,0.04,0.35,0.2,7/35,24,197,173,91,15,10
"SugarZ3ro
ZETA",,431,1.1,221.5,1.16,0.75,146.6,0.8,0.34,0.06,0.06,0.29,0.19,12/62,25,345,298,146,25,27
"sScary
XIA",,163,1.09,214.3,1.05,0.73,145.1,0.74,0.41,0.06,0.07,0.22,0.13,4/30,28,120,114,67,9,11
"Nivera
TL",,243,1.08,198.9,1.13,0.74,128.3,0.73,0.1,0.13,0.07,0.27,0.25,7/28,26,178,157,24,31,17
"Jamppi
TL",,243,1.07,231,1.17,0.7,153.8,0.84,0.16,0.15,0.12,0.25,0.14,3/21,33,204,175,38,36,30
